measurement_type,epsilon_requested,delta_requested,run,is_warmup,rows,true_result_fixed,noisy_result_fixed,absolute_error_fixed,relative_error,actual_privacy_cost_fixed,python_reference_cost_fixed,rounding_gap_fixed,host_wall_us,ok
measured,0.05,1e-05,0,1,1000,49053000,62055349,13002349,0.2650673557172854,186154,186154,0,69138,1
measured,0.05,1e-05,1,0,1000,49053000,38652371,10400629,0.2120283978553809,186154,186154,0,79950,1
measured,0.05,1e-05,2,0,1000,49053000,50100314,1047314,0.021350661529366197,186154,186154,0,71528,1
measured,0.05,1e-05,3,0,1000,49053000,51823356,2770356,0.05647679041037246,186154,186154,0,74313,1
measured,0.05,1e-05,4,0,1000,49053000,51472135,2419135,0.049316759423480724,186154,186154,0,63483,1
measured,0.05,1e-05,5,0,1000,49053000,60944637,11891637,0.2424242553972234,186154,186154,0,79481,1
measured,0.05,1e-05,6,0,1000,49053000,57610144,8557144,0.17444690436874402,186154,186154,0,70496,1
measured,0.05,1e-05,7,0,1000,49053000,41684900,7368100,0.15020691904674535,186154,186154,0,87751,1
measured,0.05,1e-05,8,0,1000,49053000,52589876,3536876,0.07210315373167799,186154,186154,0,74173,1
measured,0.05,1e-05,9,0,1000,49053000,46318608,2734392,0.055743624243165556,186154,186154,0,74968,1
measured,0.05,1e-05,10,0,1000,49053000,50913600,1860600,0.03793040181028683,186154,186154,0,76375,1
measured,0.05,1e-05,11,0,1000,49053000,53365331,4312331,0.08791166697245836,186154,186154,0,88241,1
measured,0.05,1e-05,12,0,1000,49053000,44012869,5040131,0.10274867999918455,186154,186154,0,80907,1
measured,0.05,1e-05,13,0,1000,49053000,45415696,3637304,0.07415049028601717,186154,186154,0,82011,1
measured,0.05,1e-05,14,0,1000,49053000,52213565,3160565,0.06443163517012211,186154,186154,0,74938,1
measured,0.05,1e-05,15,0,1000,49053000,55832919,6779919,0.1382161947281512,186154,186154,0,72351,1
measured,0.05,1e-05,16,0,1000,49053000,59595509,10542509,0.21492077956496036,186154,186154,0,76350,1
measured,0.05,1e-05,17,0,1000,49053000,47381078,1671922,0.034083990785476935,186154,186154,0,75882,1
measured,0.05,1e-05,18,0,1000,49053000,59420366,10367366,0.21135029457933255,186154,186154,0,65621,1
measured,0.05,1e-05,19,0,1000,49053000,55514906,6461906,0.1317331457810939,186154,186154,0,77350,1
measured,0.05,1e-05,20,0,1000,49053000,30106473,18946527,0.3862460399975537,186154,186154,0,84225,1
measured,0.05,1e-05,21,0,1000,49053000,29621847,19431153,0.3961256803865207,186154,186154,0,60492,1
measured,0.05,1e-05,22,0,1000,49053000,37502038,11550962,0.23547921635781704,186154,186154,0,77448,1
measured,0.05,1e-05,23,0,1000,49053000,45169618,3883382,0.07916706419586977,186154,186154,0,83352,1
measured,0.05,1e-05,24,0,1000,49053000,54019093,4966093,0.1012393329663833,186154,186154,0,79340,1
measured,0.05,1e-05,25,0,1000,49053000,39549291,9503709,0.1937436854015045,186154,186154,0,77181,1
measured,0.05,1e-05,26,0,1000,49053000,32387886,16665114,0.3397368968258822,186154,186154,0,90137,1
measured,0.05,1e-05,27,0,1000,49053000,50169840,1116840,0.02276802642040242,186154,186154,0,74478,1
measured,0.05,1e-05,28,0,1000,49053000,54527391,5474391,0.11160155342180907,186154,186154,0,83006,1
measured,0.05,1e-05,29,0,1000,49053000,73478755,24425755,0.4979462010478462,186154,186154,0,63993,1
measured,0.05,1e-05,30,0,1000,49053000,49819143,766143,0.015618677756712128,186154,186154,0,61906,1
measured,0.1,1e-05,0,1,1000,49053000,46532397,2520603,0.05138529753531894,196379,196379,0,74977,1
measured,0.1,1e-05,1,0,1000,49053000,39550613,9502387,0.19371673496014516,196379,196379,0,75475,1
measured,0.1,1e-05,2,0,1000,49053000,50588691,1535691,0.0313067702281206,196379,196379,0,81626,1
measured,0.1,1e-05,3,0,1000,49053000,39867726,9185274,0.18725203351476974,196379,196379,0,72288,1
measured,0.1,1e-05,4,0,1000,49053000,38945870,10107130,0.2060450940819114,196379,196379,0,88404,1
measured,0.1,1e-05,5,0,1000,49053000,46890990,2162010,0.044074980123539845,196379,196379,0,92350,1
measured,0.1,1e-05,6,0,1000,49053000,50627889,1574889,0.032105865084704296,196379,196379,0,69471,1
measured,0.1,1e-05,7,0,1000,49053000,46953087,2099913,0.042809063665830836,196379,196379,0,83653,1
measured,0.1,1e-05,8,0,1000,49053000,47890634,1162366,0.023696124599922534,196379,196379,0,76462,1
measured,0.1,1e-05,9,0,1000,49053000,37505851,11547149,0.23540148410902492,196379,196379,0,66009,1
measured,0.1,1e-05,10,0,1000,49053000,41037658,8015342,0.16340166758404176,196379,196379,0,69544,1
measured,0.1,1e-05,11,0,1000,49053000,40123555,8929445,0.18203667461725073,196379,196379,0,71183,1
measured,0.1,1e-05,12,0,1000,49053000,50280592,1227592,0.025025829205145456,196379,196379,0,70094,1
measured,0.1,1e-05,13,0,1000,49053000,51827991,2774991,0.05657128004403401,196379,196379,0,69025,1
measured,0.1,1e-05,14,0,1000,49053000,51716935,2663935,0.0543072798809451,196379,196379,0,87842,1
measured,0.1,1e-05,15,0,1000,49053000,41755181,7297819,0.14877416264040935,196379,196379,0,80924,1
measured,0.1,1e-05,16,0,1000,49053000,47315997,1737003,0.03541073940431778,196379,196379,0,79523,1
measured,0.1,1e-05,17,0,1000,49053000,49360459,307459,0.006267893910668053,196379,196379,0,64752,1
measured,0.1,1e-05,18,0,1000,49053000,46975713,2077287,0.04234780747354902,196379,196379,0,86416,1
measured,0.1,1e-05,19,0,1000,49053000,57708152,8655152,0.17644490652967199,196379,196379,0,64732,1
measured,0.1,1e-05,20,0,1000,49053000,51099974,2046974,0.04172984323079119,196379,196379,0,83535,1
measured,0.1,1e-05,21,0,1000,49053000,41788422,7264578,0.14809650785884657,196379,196379,0,61309,1
measured,0.1,1e-05,22,0,1000,49053000,51045791,1992791,0.04062526247120461,196379,196379,0,85125,1
measured,0.1,1e-05,23,0,1000,49053000,49197500,144500,0.0029457933255866106,196379,196379,0,78357,1
measured,0.1,1e-05,24,0,1000,49053000,41308308,7744692,0.15788416610604855,196379,196379,0,64300,1
measured,0.1,1e-05,25,0,1000,49053000,44933190,4119810,0.08398691211546694,196379,196379,0,69121,1
measured,0.1,1e-05,26,0,1000,49053000,44293193,4759807,0.09703396326422441,196379,196379,0,68482,1
measured,0.1,1e-05,27,0,1000,49053000,51374262,2321262,0.04732150938780503,196379,196379,0,82825,1
measured,0.1,1e-05,28,0,1000,49053000,56064290,7011290,0.14293295007440932,196379,196379,0,83405,1
measured,0.1,1e-05,29,0,1000,49053000,45471660,3581340,0.0730096018592135,196379,196379,0,61647,1
measured,0.1,1e-05,30,0,1000,49053000,54398900,5345900,0.10898212137891668,196379,196379,0,75641,1
measured,0.2,1e-05,0,1,1000,49053000,45205162,3847838,0.07844246019611441,237278,237278,0,81445,1
measured,0.2,1e-05,1,0,1000,49053000,51212732,2159732,0.04402854055817177,237278,237278,0,71717,1
measured,0.2,1e-05,2,0,1000,49053000,47051306,2001694,0.040806760035064116,237278,237278,0,64190,1
measured,0.2,1e-05,3,0,1000,49053000,48176853,876147,0.017861231728946242,237278,237278,0,71368,1
measured,0.2,1e-05,4,0,1000,49053000,49824951,771951,0.01573708030089903,237278,237278,0,84202,1
measured,0.2,1e-05,5,0,1000,49053000,46800249,2252751,0.045924836401443334,237278,237278,0,67750,1
measured,0.2,1e-05,6,0,1000,49053000,49814761,761761,0.015529345809634477,237278,237278,0,66020,1
measured,0.2,1e-05,7,0,1000,49053000,49056607,3607,7.353270951827615e-05,237278,237278,0,72277,1
measured,0.2,1e-05,8,0,1000,49053000,48440436,612564,0.012487798911381567,237278,237278,0,79502,1
measured,0.2,1e-05,9,0,1000,49053000,51592520,2539520,0.05177094163455854,237278,237278,0,76081,1
measured,0.2,1e-05,10,0,1000,49053000,47943968,1109032,0.022608851650255845,237278,237278,0,83223,1
measured,0.2,1e-05,11,0,1000,49053000,48110765,942235,0.019208509163557784,237278,237278,0,91059,1
measured,0.2,1e-05,12,0,1000,49053000,48658519,394481,0.008041934234399526,237278,237278,0,83688,1
measured,0.2,1e-05,13,0,1000,49053000,46512896,2540104,0.05178284712453876,237278,237278,0,67846,1
measured,0.2,1e-05,14,0,1000,49053000,49747797,694797,0.014164210140052596,237278,237278,0,84348,1
measured,0.2,1e-05,15,0,1000,49053000,53421616,4368616,0.08905909934152854,237278,237278,0,85421,1
measured,0.2,1e-05,16,0,1000,49053000,45603477,3449523,0.07032236560455019,237278,237278,0,83617,1
measured,0.2,1e-05,17,0,1000,49053000,50712405,1659405,0.0338288178093083,237278,237278,0,70802,1
measured,0.2,1e-05,18,0,1000,49053000,50671470,1618470,0.032994312274478625,237278,237278,0,79989,1
measured,0.2,1e-05,19,0,1000,49053000,50047408,994408,0.02027211383605488,237278,237278,0,82832,1
measured,0.2,1e-05,20,0,1000,49053000,48700202,352798,0.007192179887060934,237278,237278,0,78245,1
measured,0.2,1e-05,21,0,1000,49053000,48608191,444809,0.00906792652844882,237278,237278,0,78040,1
measured,0.2,1e-05,22,0,1000,49053000,48860540,192460,0.0039235113040996476,237278,237278,0,68884,1
measured,0.2,1e-05,23,0,1000,49053000,47799836,1253164,0.025547142886265875,237278,237278,0,86671,1
measured,0.2,1e-05,24,0,1000,49053000,44556743,4496257,0.09166120318838807,237278,237278,0,81063,1
measured,0.2,1e-05,25,0,1000,49053000,49794572,741572,0.015117770574684525,237278,237278,0,75507,1
measured,0.2,1e-05,26,0,1000,49053000,50091863,1038863,0.021178378488573582,237278,237278,0,90414,1
measured,0.2,1e-05,27,0,1000,49053000,50074452,1021452,0.020823435875481622,237278,237278,0,86390,1
measured,0.2,1e-05,28,0,1000,49053000,45494239,3558761,0.07254930381424174,237278,237278,0,75164,1
measured,0.2,1e-05,29,0,1000,49053000,45164649,3888351,0.07926836279126659,237278,237278,0,64493,1
measured,0.2,1e-05,30,0,1000,49053000,46153737,2899263,0.05910470307626445,237278,237278,0,77959,1
measured,0.25,1e-05,0,1,1000,49053000,50001257,948257,0.01933127433592237,267953,267953,0,66681,1
measured,0.25,1e-05,1,0,1000,49053000,48278531,774469,0.01578841253338226,267953,267953,0,87839,1
measured,0.25,1e-05,2,0,1000,49053000,48355774,697226,0.014213728008480623,267953,267953,0,82263,1
measured,0.25,1e-05,3,0,1000,49053000,44578584,4474416,0.09121595009479543,267953,267953,0,70768,1
measured,0.25,1e-05,4,0,1000,49053000,50908620,1855620,0.037828878967647236,267953,267953,0,83591,1
measured,0.25,1e-05,5,0,1000,49053000,48124615,928385,0.018926161498787026,267953,267953,0,77259,1
measured,0.25,1e-05,6,0,1000,49053000,49154702,101702,0.002073308462275498,267953,267953,0,88042,1
measured,0.25,1e-05,7,0,1000,49053000,47816777,1236223,0.025201781746274438,267953,267953,0,80228,1
measured,0.25,1e-05,8,0,1000,49053000,47698271,1354729,0.027617658451063135,267953,267953,0,84959,1
measured,0.25,1e-05,9,0,1000,49053000,48665098,387902,0.007907813997105172,267953,267953,0,70068,1
measured,0.25,1e-05,10,0,1000,49053000,48752533,300467,0.006125354208713025,267953,267953,0,88002,1
measured,0.25,1e-05,11,0,1000,49053000,45788128,3264872,0.0665580494567101,267953,267953,0,64455,1
measured,0.25,1e-05,12,0,1000,49053000,46888070,2164930,0.04413450757344097,267953,267953,0,73162,1
measured,0.25,1e-05,13,0,1000,49053000,49090721,37721,0.0007689845677124743,267953,267953,0,82231,1
measured,0.25,1e-05,14,0,1000,49053000,50411156,1358156,0.027687521660245042,267953,267953,0,73261,1
measured,0.25,1e-05,15,0,1000,49053000,51344905,2291905,0.04672303426905592,267953,267953,0,75174,1
measured,0.25,1e-05,16,0,1000,49053000,48701326,351674,0.0071692658960715965,267953,267953,0,64872,1
measured,0.25,1e-05,17,0,1000,49053000,47623871,1429129,0.029134385256763092,267953,267953,0,87476,1
measured,0.25,1e-05,18,0,1000,49053000,47510021,1542979,0.031455344219517664,267953,267953,0,59822,1
measured,0.25,1e-05,19,0,1000,49053000,48801188,251812,0.005133467881679,267953,267953,0,71145,1
measured,0.25,1e-05,20,0,1000,49053000,50363660,1310660,0.02671926283815465,267953,267953,0,73398,1
measured,0.25,1e-05,21,0,1000,49053000,50081269,1028269,0.02096240800766518,267953,267953,0,91599,1
measured,0.25,1e-05,22,0,1000,49053000,51843025,2790025,0.05687776486657289,267953,267953,0,72334,1
measured,0.25,1e-05,23,0,1000,49053000,51692697,2639697,0.053813161274539785,267953,267953,0,76189,1
measured,0.25,1e-05,24,0,1000,49053000,48459063,593937,0.012108066784906122,267953,267953,0,77128,1
measured,0.25,1e-05,25,0,1000,49053000,48435664,617336,0.012585081442521354,267953,267953,0,73293,1
measured,0.25,1e-05,26,0,1000,49053000,50015037,962037,0.01961219497278454,267953,267953,0,92913,1
measured,0.25,1e-05,27,0,1000,49053000,49753197,700197,0.014274295150143721,267953,267953,0,70882,1
measured,0.25,1e-05,28,0,1000,49053000,50264137,1211137,0.024690375716062217,267953,267953,0,68689,1
measured,0.25,1e-05,29,0,1000,49053000,49016156,36844,0.0007511059466291562,267953,267953,0,72524,1
measured,0.25,1e-05,30,0,1000,49053000,50016536,963536,0.019642753756141315,267953,267953,0,90889,1
measured,0.5,1e-05,0,1,1000,49053000,48983552,69448,0.0014157747742237989,500578,500578,0,86414,1
measured,0.5,1e-05,1,0,1000,49053000,47871697,1181303,0.024082176421421728,500578,500578,0,94897,1
measured,0.5,1e-05,2,0,1000,49053000,50285679,1232679,0.02512953336187389,500578,500578,0,68074,1
measured,0.5,1e-05,3,0,1000,49053000,50533415,1480415,0.030179907447047072,500578,500578,0,64187,1
measured,0.5,1e-05,4,0,1000,49053000,48182422,870578,0.017747701465761524,500578,500578,0,68958,1
measured,0.5,1e-05,5,0,1000,49053000,48705138,347862,0.007091554033392453,500578,500578,0,84584,1
measured,0.5,1e-05,6,0,1000,49053000,50738541,1685541,0.03436162925814935,500578,500578,0,80685,1
measured,0.5,1e-05,7,0,1000,49053000,48169472,883528,0.018011701628850428,500578,500578,0,83670,1
measured,0.5,1e-05,8,0,1000,49053000,48959173,93827,0.0019127678225592725,500578,500578,0,69503,1
measured,0.5,1e-05,9,0,1000,49053000,49804376,751376,0.015317636026338857,500578,500578,0,78958,1
measured,0.5,1e-05,10,0,1000,49053000,49466119,413119,0.00842189060811775,500578,500578,0,58399,1
measured,0.5,1e-05,11,0,1000,49053000,49790467,737467,0.015034085580902289,500578,500578,0,75633,1
measured,0.5,1e-05,12,0,1000,49053000,46614857,2438143,0.049704258659001486,500578,500578,0,63286,1
measured,0.5,1e-05,13,0,1000,49053000,49925236,872236,0.017781501641082095,500578,500578,0,79960,1
measured,0.5,1e-05,14,0,1000,49053000,49220288,167288,0.0034103520681711616,500578,500578,0,73191,1
measured,0.5,1e-05,15,0,1000,49053000,48602119,450881,0.009191711006462398,500578,500578,0,86097,1
measured,0.5,1e-05,16,0,1000,49053000,47851596,1201404,0.024491957678429453,500578,500578,0,77442,1
measured,0.5,1e-05,17,0,1000,49053000,47683868,1369132,0.027911279636311744,500578,500578,0,82393,1
measured,0.5,1e-05,18,0,1000,49053000,49666165,613165,0.01250005096528245,500578,500578,0,72466,1
measured,0.5,1e-05,19,0,1000,49053000,47815886,1237114,0.025219945772939473,500578,500578,0,76378,1
measured,0.5,1e-05,20,0,1000,49053000,50485455,1432455,0.029202189468534034,500578,500578,0,81134,1
measured,0.5,1e-05,21,0,1000,49053000,49898959,845959,0.017245815750310887,500578,500578,0,83079,1
measured,0.5,1e-05,22,0,1000,49053000,50527225,1474225,0.030053717407701873,500578,500578,0,80345,1
measured,0.5,1e-05,23,0,1000,49053000,49627755,574755,0.011717020365726867,500578,500578,0,72420,1
measured,0.5,1e-05,24,0,1000,49053000,50753129,1700129,0.03465902187429923,500578,500578,0,82268,1
measured,0.5,1e-05,25,0,1000,49053000,48555381,497619,0.010144517154914073,500578,500578,0,66950,1
measured,0.5,1e-05,26,0,1000,49053000,47397249,1655751,0.03375432695247997,500578,500578,0,65946,1
measured,0.5,1e-05,27,0,1000,49053000,48782869,270131,0.0055069210853566555,500578,500578,0,68199,1
measured,0.5,1e-05,28,0,1000,49053000,49746746,693746,0.014142784335310786,500578,500578,0,66185,1
measured,0.5,1e-05,29,0,1000,49053000,48734632,318368,0.0064902860171651075,500578,500578,0,64888,1
measured,0.5,1e-05,30,0,1000,49053000,49549590,496590,0.010123539844657818,500578,500578,0,84780,1
measured,1.0,1e-05,0,1,1000,49053000,49209919,156919,0.0031989684626832202,1011807,1011807,0,68733,1
measured,1.0,1e-05,1,0,1000,49053000,49326937,273937,0.005584510631357919,1011807,1011807,0,85772,1
measured,1.0,1e-05,2,0,1000,49053000,50211814,1158814,0.023623713126618148,1011807,1011807,0,64808,1
measured,1.0,1e-05,3,0,1000,49053000,49269109,216109,0.00440562248995984,1011807,1011807,0,70128,1
measured,1.0,1e-05,4,0,1000,49053000,49678110,625110,0.012743563084826616,1011807,1011807,0,64346,1
measured,1.0,1e-05,5,0,1000,49053000,49658024,605024,0.012334087619513587,1011807,1011807,0,72619,1
measured,1.0,1e-05,6,0,1000,49053000,49643996,590996,0.012048111226632418,1011807,1011807,0,77819,1
measured,1.0,1e-05,7,0,1000,49053000,48671696,381304,0.0077733064236642,1011807,1011807,0,76077,1
measured,1.0,1e-05,8,0,1000,49053000,49089823,36823,0.0007506778382565797,1011807,1011807,0,72258,1
measured,1.0,1e-05,9,0,1000,49053000,49529619,476619,0.009716408782337472,1011807,1011807,0,70653,1
measured,1.0,1e-05,10,0,1000,49053000,48843693,209307,0.00426695614947098,1011807,1011807,0,70545,1
measured,1.0,1e-05,11,0,1000,49053000,49055628,2628,5.3574704911014616e-05,1011807,1011807,0,83131,1
measured,1.0,1e-05,12,0,1000,49053000,49173554,120554,0.0024576274641714066,1011807,1011807,0,80940,1
measured,1.0,1e-05,13,0,1000,49053000,48955782,97218,0.001981897131673904,1011807,1011807,0,67446,1
measured,1.0,1e-05,14,0,1000,49053000,49794301,741301,0.015112245938066989,1011807,1011807,0,107812,1
measured,1.0,1e-05,15,0,1000,49053000,48886083,166917,0.003402788820255642,1011807,1011807,0,87805,1
measured,1.0,1e-05,16,0,1000,49053000,48604854,448146,0.00913595498746254,1011807,1011807,0,68457,1
measured,1.0,1e-05,17,0,1000,49053000,48412829,640171,0.013050598332415958,1011807,1011807,0,70691,1
measured,1.0,1e-05,18,0,1000,49053000,48750918,302082,0.006158277781175463,1011807,1011807,0,68114,1
measured,1.0,1e-05,19,0,1000,49053000,49288933,235933,0.004809756793672151,1011807,1011807,0,73832,1
measured,1.0,1e-05,20,0,1000,49053000,48460967,592033,0.01206925162579251,1011807,1011807,0,76498,1
measured,1.0,1e-05,21,0,1000,49053000,48584012,468988,0.009560842354188326,1011807,1011807,0,70932,1
measured,1.0,1e-05,22,0,1000,49053000,49186216,133216,0.002715756426722117,1011807,1011807,0,88502,1
measured,1.0,1e-05,23,0,1000,49053000,49817508,764508,0.015585346461990092,1011807,1011807,0,87466,1
measured,1.0,1e-05,24,0,1000,49053000,48647465,405535,0.008267282327278658,1011807,1011807,0,67146,1
measured,1.0,1e-05,25,0,1000,49053000,49174700,121700,0.002480989949646301,1011807,1011807,0,62939,1
measured,1.0,1e-05,26,0,1000,49053000,49488160,435160,0.008871220924306363,1011807,1011807,0,66504,1
measured,1.0,1e-05,27,0,1000,49053000,49342559,289559,0.00590298248832895,1011807,1011807,0,65059,1
measured,1.0,1e-05,28,0,1000,49053000,49034370,18630,0.00037979328481438444,1011807,1011807,0,65898,1
measured,1.0,1e-05,29,0,1000,49053000,49925832,872832,0.017793651764418078,1011807,1011807,0,74566,1
measured,1.0,1e-05,30,0,1000,49053000,49654668,601668,0.012265671824353251,1011807,1011807,0,66177,1
